Time_s,L5S1 (low back / sacrum),RLAKN (right knee),RASIS (right hip / pelvis),RLAMA (right ankle),RDIFT (right toe / forefoot)
0.368,1004.525879,492.020935,989.931885,79.210175,43.980274
0.372,1003.855042,491.708893,989.480896,79.08744,43.980274
0.376,1003.358215,491.527313,988.883667,79.022224,43.980274
0.38,1003.303345,491.54129,988.412903,79.161613,43.94783
0.384,1002.858032,491.535278,987.866089,79.323891,43.93111
0.388,1001.99646,491.847992,987.120117,79.522606,43.931694
0.392,1001.456543,491.229034,986.169312,79.678772,43.853233
0.396,1001.245178,491.139404,985.53241,79.966408,43.789917
0.4,1001.191711,491.363922,985.009827,80.715706,43.75127
0.404,1000.697937,491.578888,984.617004,81.14418,43.673981
0.408,1000.068604,491.829651,984.315308,81.411308,43.635338
0.412,999.86908,491.794006,983.676025,81.976837,43.635338
0.416,999.513916,491.537231,983.201599,82.642632,43.635338
0.42,998.927002,491.592499,982.701111,83.140816,43.567825
0.424,998.358337,491.709442,982.621704,83.718361,43.577641
0.428,997.170959,491.750977,981.209778,84.152992,43.944649
0.432,995.972046,492.050964,980.8302,84.311394,43.852238
0.436,995.195129,492.564178,980.750427,84.727425,44.00589
0.44,994.820251,493.052429,979.829468,85.638222,43.911221
0.444,994.217102,493.517426,978.302795,86.384865,43.710629
0.448,993.392456,494.0784,977.936829,86.723907,43.819492
0.452,992.603333,494.415741,978.101135,87.032631,43.894711
0.456,991.502808,494.41861,977.622925,87.348373,43.846539
0.46,990.696899,494.664032,977.072327,88.101067,43.894711
0.464,990.439575,495.192413,975.595276,89.418419,43.942879
0.468,989.666199,494.265839,975.163635,90.432045,43.942879
0.472,988.215393,494.849091,974.621338,91.098984,43.942879
0.476,987.207397,494.989716,974.032715,91.826462,43.782597
0.48,987.000488,495.261383,973.566223,92.495567,43.462032
0.484,986.152954,495.243866,973.428345,93.292648,43.285427
0.488,984.113342,494.986725,972.38031,94.488686,43.269104
0.492,984.681213,494.906677,971.446472,95.531204,43.199516
0.496,982.848511,494.910492,970.527527,96.322418,43.044014
0.5,982.45166,494.776428,969.615601,97.398788,42.950314
0.504,982.674927,494.403259,968.826233,98.173851,42.888634
0.508,981.062439,494.142792,968.402771,98.835609,42.788647
0.512,979.70282,493.934967,967.851318,100.312149,42.6106
0.516,980.513062,493.509399,967.198853,101.96743,42.478649
0.52,979.033264,493.215332,966.743103,103.230148,42.374146
0.524,978.240112,493.135101,965.931763,104.374702,42.03318
0.528,977.791138,493.076294,964.685364,105.342278,41.903648
0.532,977.099976,492.745575,964.161804,106.807014,42.117496
0.536,977.568604,492.264893,963.599915,108.881248,42.326702
0.54,976.825378,492.112,963.425598,110.426949,42.284042
0.544,974.563904,491.996033,962.924194,112.094269,41.644669
0.548,974.721924,491.780396,962.493591,114.147591,42.093704
